Hangisi sürdürülebilirliğin temel boyutlarından olan çevresel sürdürülebilirliğin ana temalarındandan biridir? ;KOLAY;Atık Yönetimi;İnsan Hakları;Sosyal Yatırımlar;Tasarruf
Aşağıdakilerden hangisi döngüsel ekonominin avantajlarından değildir? ;ORTA;Hammadde fiyat dalgalanmalarını arttırma;Yeni iş fırsatları ve istihdamı arttırma;Daha az kaynak kullanımı;Maaliyetleri Azaltma
Sürdürülebilir Kalkınma hedefleri arasında aşağıdakilerden hangisi yoktur?;ZOR;İktisadi Kalkınmanın Hızlandırılması;Yoksulluğun Azaltılması;Nitelikli Eğitim;İklim Değişikliği ile mücadele
Dünya Su Günü hangi gün kutlanır?;ZOR;22.Mar;22.Nis;5.Haz;31.Mar
Sakarya Üniversitesi 2023 yılı UI Greenmetric Türkiye Üniversiteler Sıralamasında kaçıncı sırada yer almıştır? ;ZOR;14;1;10;21
Aşağıdaki sürdürülebilir kalkınma amaçlarından hangisi sürdürülebilirliğin çevresel boyutuna ait değildir? ;KOLAY;SDG2-Açlığa Son;SDG 13-İklim Eylemi;SDG14-Sudaki Yaşam;SDG15-Karasal Yaşam
Dünyadaki tatlı su kaynakları en çok hangi sektörde kullanılmaktadır? ;ORTA;Tarım;Sanayi;Evsel Amaçlı;Ticari
Hangisi Sera Gazı değildir?;ZOR;Azot (N2);Karbondioksit (CO2);Metan (CH4);Kükürtheksaflorid (SF6)
Hangisi yenilenebilir bir enerji kaynağı değildir? ;KOLAY;Kömür;Güneş;Rüzgar;Hidroelektrik
Sıfır atık yaklaşımında öncelikli adım hangisidir?;ORTA;Önleme-Azaltma;Geri dönüşüm;Yeniden kullanım;Düzenli Depolama
Sıfır atık felsefesinin amacı nedir?;KOLAY;Atık Üretimini Önlemek;Atıkları Yakmak;Atıkları Denize Atmak;Atıkları Gömmek
Hangisi sıfır atık ilkelerine uygun bir tatil seçeneğidir?;KOLAY;Doğa ile bütünleşen, az atık üreten kampçılık;Büyük otellerde, bol ambalajlı ürünlerle tatil;Her gün yeni bir şehre uçakla seyahat etmek;Tek kullanımlık ürünlerle dolu bir cruise turu
İklim değişikliği hangi doğal afetlerin artmasına neden olabilir?;KOLAY;Tümü ;Orman Yangınları;Sel;Kasırga
Hangi uluslararası anlaşma küresel ısınmayla mücadele amacıyla ülkeleri sera gazı emisyonlarını azaltmaya teşvik etmektedir? ;ORTA;Kyoto Protokolü;Montreal Protokolü;NATO Anlaşması;Viyana Anlaşması
Küresel ısınmanın başlıca nedenlerinden biri nedir?;ORTA;Fosil yakıtların yakılması;Ormanların Arttırılması;Fosil yakıt kullanımımın azaltılması;Yenilenebilir enerji kullanımı
Su ayak izi nedir?;ZOR;Bir ürünün üretiminden tüketimine kadar olan süreçte tükettiği toplam su miktarı;Bir ülkenin su kaynaklarını koruma çabası;Bir bireyin günlük içme suyu tüketimi;Su kirliliği seviyesi
Su ayak izi hesaplarken hangi tür su kaynaklaru göz önünde bulundurulur? ;ZOR;Tümü ;Yeşil su (yağmur suyu);Mavi su (yüzey ve yer altı suları);Gri su (kirli su)
Evde su tasarrufu yapmanın etkili bir yolu nedir? ;KOLAY;Bulaşıkları bulaşık makinesinde yıkamak;Banyo yaparken suyu açık bırakmak;Çamaşırları elde yıkamak;Bulaşıkları elde yıkamak
Avrupa Yeşil Mutabakatı hangi tarihe kadar net sıfır emisyon hedeflemektedir? ;ORTA;2050;2030;2040;2060
Yeşil Mutabakat, hangi ekonomik modeli teşvik eder? ;ORTA;Döngüsel ekonomi;Doğrusal ekonomi;Geleneksel ekonomi;Monopol ekonomi
İklim bilimciler ve çevre politikaları, küresel sıcaklıkların kaç derece üzerine çıkmasını önlemeye çalışmaktadır? ;ORTA; 2 derece Celsius ;1 derece Celsius;4 derece Celsius;5 derece Celsius
Enerji verimliliği için evlerde ne yapılmalıdır? ;KOLAY;LED Ampül Kullanımı ;Klimaları sürekli açık bırakma;Eski cihaz kullanımı;Isı yalıtımsız binalar kullanımı
Hangisi çevresel sürdürülebilirlik için bir tehdit oluşturur? ;KOLAY;Orman alanların yok edilmesi;Sürdürülebilir tarım uygulamaları;Yenilenebilir enerji yatırımları;Kentsel alanlarda yeşil alanların arttırılması
Karbon ayak izi nedir? ;KOLAY;Bir bireyin veya kuruluşun doğaya saldığı karbon dioksit miktarı;Bir şehrin nüfusu;Bir ürünün su kullanımı;Bir ürünün üretim maliyeti
Hangisi karbon ayak izini azaltmaya yardımcı olur?;KOLAY;Yenilenebilir enerji kaynaklarını kullanmak;Kömür kullanmayı arttırmak;Daha fazla uçakla seyahat etmek;Plastik kullanımını arttırmak
Hangi sektör, hava kirliliğiğinin önde gelen kaynaklarından biridir? ;KOLAY;Sanayi;Eğitim;Turizm;Bilgi Teknolojileri
Ozon tabakası incelmesinin başlıca nedeni nedir? ;ZOR;Kloroflorokarbonlar (CFC);Güneş ışınlarının azalması;Fotosentez;Oksijen seviyesinin artması
Uzun süreli hava kirliliği mazuriyeti hangi duruma yol açabilir? ;ORTA;Kronik bronşit;İşitme Kaybı;Beyin Kanaması;Saçların Dökülmesi
Hangisi su kirliliğine sebep olur?;KOLAY;Atıksuların arıtılmadan su kaynaklarına deşarj edilmesi;Yağmur sularının toplanması;Su tasarrufu;Doğal kaynakların sürdürülebilir kullanımı
Hangisi çevresel sürdürülebirlikle doğrudan ilgili değildir?;ZOR;ISO 26000;ISO 14000;GHG Protokol;AB Yeşil Mutabakat
Yeşil badana (greenwashing) nedir?;ORTA;çevresel etkiyi abartılı veya yanıltıcı bir şekilde pazarlamak ;çevre dostu teknolojiler geliştirmek ;organik tarım yapmak;Enerji tasarrufu yapan ürünler 
Hangisi yeşil badana (greenwashing) örneği değildir?;KOLAY;Gerçek çevre dostu olan ürünler üretmek;"Gerçekte daha az çevreci olan ürünleri ""çevre dostu"" olarak etiketlemek ";"Enerji tasarrufu sağlamayan bir ürünü ""enerji verimli"" olarak pazarlama";"Geri dönüşümlü malzemeler kullanmayan bir ürünü ""geri dönüşümlü"" olarak tanıtmak"
Biyoçeşitliği koruma için hangi anlaşma önemlidir? ;ORTA;Biyoçeşitlilik sözleşmesi;Paris İklim Anlaşması;Kyoto Protokolü;Montreal Protokolü
Sürdürülebilir kalkınma hedefleri arasında bulunmayan aşağıdaki hangisidir?;ORTA;İktisadi kalkınmanın hızlandırılması;Yoksulluğa son;Nitelikli Eğitim;İklim değişikliği ile mücadele
Çevre kirliliğine yol açmayan bir ulaşım yöntemi hangisidir?;KOLAY;Bisiklet;Otomobil kullanımı;Deniz taşımacılığı;Tren
Hangisi sürdürülebilirliğin temel boyutlarından olan çevresel sürdürülebilirliğin ana temalarından biri değildir?;ORTA;Sosyal adalet;Atık yönetimi;Doğal kaynakların kullanımı;Enerji verimliliği
Hangisi hava kirliliğine neden olan bir faktör değildir?;KOLAY;Rüzgar;Sanayi tesisleri;Otomobiller;Termal santraller
Sürdürülebilir bir yaşam tarzını teşvik etmek için en etkili yöntem aşağıdakilerden hangisidir?;KOLAY;Geridönüşüm ve geri kazanımı teşvik etmek; Hızlı tüketim alışkanlıklarını teşvik etmek;Tek kullanımlık plastik ürünlerin kullanımını artırmak;Atık üretimini artırmak
Sürdürülebilir Kalkınma Hedefleri ne zaman kabul edilmiştir?;ORTA;2015;1990;2000;2005
Çevre bilinci oluşturmak için en etkili yöntem aşağıdakilerden hangisidir?;KOLAY;Eğitim ve farkındalık kampanyaları düzenlemek;Doğal kaynakları plansızca tüketmek;Endüstriyel atıkları doğaya bırakmak;Tekrar kullanım ve geri dönüşümü teşvik etmemek
Sürdürülebilir Kalkınma Amaçlarının ana hedeflerinden biri aşağıdakilerden hangisidir?;KOLAY;Yoksulluğun azaltılması;Tek kullanımlık plastik ürünlerin azaltılması;Endüstriyel gelişim;Orman yangınlarının azaltılması
Hangisi çevresel sürdürülebilirlik için bir tehdit oluşturan faktörlerden biri değildir?;KOLAY;Sürdürülebilir enerji kullanımı;Orman yangınları;Su kıtlığı;Toprak erozyonu
Hangi uluslararası anlaşma, biyoçeşitliliğin korunması için önemlidir?;ORTA;Biyoçeşitlilik Sözleşmesi;Kyoto Protokolü;Paris Anlaşması;Montreal Protokolü
Hangisi sıfır atık felsefesinin temel amacıdır?;ORTA;Atık üretimini önlemek;Atıkları yönetmek;Biyolojik atıkları gömmek;Atıkların biyobozunur olmasını sağlamak
Montreal Protokolü hangi konuda uluslararası bir anlaşmadır?;ZOR;Ozon tabakasının korunması;Biyoçeşitliliğin korunması;Küresel ısınmanın azaltılması;Su kaynaklarının yönetimi
Biyobozunur ambalajlarla ilgili aşağıdaki ifadelerden hangisi doğrudur?;KOLAY;Biyobozunur ambalajlar, doğada belirli bir süre içinde çürür ve doğal bileşenlere dönüşür.;Biyobozunur ambalajlar, herhangi bir ortamda sonsuza kadar çözünür.;Biyobozunur ambalajlar, yalnızca özel endüstriyel tesislerde parçalanabilir.;Biyobozunur ambalajlar, geri dönüştürülemez ve çevreye zarar verir
Paris İklim Anlaşması, aşağıdaki hedeflerden hangisini belirlemiştir?;ZOR;Sera gazı emisyonlarını net sıfıra indirme;Küresel ısınmayı 1 derecenin altında tutma;Orman alanlarını iki katına çıkarma;Enerji verimliliğini %10 artırma
Entegre raporlamanın temel amacı nedir?;ZOR;Finansal ve sürdürülebilirlik performansını bir arada sunmak;Şirketin çevresel etkilerini azaltmak;Adil bir çalışma ortamı sağlamak;Şirket işe alım politikasında dezavantajlı gruplar lehine hareket etmek
TS EN ISO 14001: Çevre Yönetim Sistemi Standartları, aşağıdakilerden hangisinin uygulanmasını teşvik eder?;ZOR; Çevresel etkilerin azaltılması ve doğal kaynakların korunması için önlemler almak;Yöneticilerin çevreye duyarlı şirket politikaları hazırlamalarını sağlamak;Biyobozunur hammadde kullanımını teşvik etmek;Çevresel etkisi olmayan ürünler geliştirmek
Sürdürülebilir kalkınma kapsamında ele alınan hedeflerden hangisi doğrudan eğitimle ilgilidir?;ORTA;Nitelikli eğitim;Eşitsizliklerin azaltılması;Toplumsal cinsiyet eşitliği;Eğitimsel sürdürülebilirlik
Hangisi nitelikli eğitimin alt hedeflerinden değildir?;ORTA;Evrensel yasal kimlik sağlanması;Ücretsiz ilk ve orta eğitim;Evrensel okuryazarlık ve sayı bilgisi;Finansal başarı için ilgili niteliklere sahip insan sayısının artırılması
Uluslararası Eğitim Günü hangi gün olarak kabul edilmiştir?;ZOR;24.Oca;24.Şub;24.Kas;24.May
Uluslararası Eğitim Gününe yönelik sunulan seçeneklerden hangisi hatalıdır?;ZOR;3 Aralık 2023 yılında ilan edilmiştir.;Birleşmiş Milletlerin önerisiyle ilan edilmiştir.;Eğitimin, sürdürülebilir ve dayanıklı toplumlar inşa etmedeki önemine dikkat çeker.;Eğitimin, yoksulluğun ve açlığın ortadan kaldırılmasına yardımcı olduğuna vurgu yapar.
Birleşmiş Milletler Ajandasında nitelikli eğitim hedefleri için belirlenen son tarih ne zamandır?;KOLAY;2030;2040;2050;2070
Küresel sürdürülebilir kalkınma hedeflerinde nitelikli eğitim kaçıncı sıradadır?;KOLAY;4;17;6;2
Kapsayıcı ve eşitlikçi kaliteli eğitim sağlama ve herkes için yaşam boyu öğrenme fırsatlarını teşvik etme ifadesine denk gelen sürdürülebilir kalkınma hedefidir?;KOLAY;Nitelikli eğitim;Eşitsizliklerin azaltılması;Sağlıklı bireyler;Hedefler için ortaklıklar
Seçeneklerde verilen Sürdürülebilir Kalkınma Amaçları ve eşleştirmelerden hangisi hatalıdır?;KOLAY;SKA 2-Nitelikli eğitim;SKA 13-İklim Eylemi;SKA 1-Yoksulluğa Son;SKA 5-Cinsiyet Eşitliği
Nitelikli eğitim kapsamında kaç farklı gösterge mevcuttur?;ORTA;11;15;7;5
Aşağıdakilerden hangisi nitelikli eğitimle ilgili anahtar kelimelerden değildir?;ORTA;Etkili ortaklık;Erişilebilir eğitim;Küresel vatandaşlık;Ücretsiz eğitim
SKA 5 hangi amaca denk gelmektedir?;KOLAY;Cinsiyet eşitliği;Temiz su ve sanitasyon;Sağlıklı bireyler;Hedefler için ortaklıklar
Cinsiyet eşitliği kapsamında kaç farklı hedef mevcuttur?;ORTA;8;10;12;14
Sürdürülebilir Kalkınma Hedefi 4'e yönelik ilerlemenin izlenmesinden öncelikli olarak hangi BM kurumu sorumludur?;ZOR;UNESCO;UNICEF;WHO;UNHCR
SKA4, hangi yaş grubundaki bireyleri kapsamaktadır?;ORTA;Her yaş grubundan bireyler;0-10 yaş;11-18 yaş;19-30 yaş
COP (Conference of Parties/Taraflar Konferansı), hangi konuda toplanan bir uluslararası toplantıdır?;ZOR;İklim değişikliği;İnsan Hakları;Sürdürülebilir turizm;Dünya barışı
Kaç tane Sürdürülebilir Kalkınma Hedefi vardır?;KOLAY;17;15;23;20
Nitelikli eğitimdeki kalite kavramı hangi konuları kapsamaktadır?;KOLAY;Tümü;Okul binası kalitesi;Ders kitaplarının güncelliği;Öğretmenlerin niteliği
Aşağıdakilerden hangisi döngüsel ekonominin avantajlarından biri değildir?;KOLAY;Hammadde fiyatlarını düşürme;Atık miktarını azaltma;Yenilikçiliği teşvik etme;Kaynakları daha verimli kullanma
I. Gelişmekte olan ülkelerde nitelikli öğretmen arzının artırılması \nII. Kapsayıcı ve emniyetli okullar inşa edilmesi \nIII. Gelişmekte olan ülkeler için yükseköğrenim burs imkanlarının artırılması \nIV. Herkes için güvenli, şiddet içermeyen, kapsayıcı ve etkili öğrenme ortamları sağlamak nYukarıdaki maddelerden kaç tanesi nitelikli eğitimin alt hedeflerindendir?;ZOR;4;3;2;1
I. Cinsiyete göre gelişimsel açıdan sağlık, öğrenme ve psikososyal iyi olma durumunda olan 5 yaş altı çocukların oranı \nII. Yetenek tipine göre bilgi ve iletişim teknolojileri becerisine sahip genç ve yetişkinlerin oranı \nIII. Sektör ve çalışma türüne göre burslar için resmi kalkınma yardımı akımlarının hacmi \nYukarıdaki maddelerden kaç tanesi nitelikli eğitimin göstergelerindendir?;ZOR;3;2;1;0
I. Cinsiyete göre cep telefonu sahibi bireylerin oranı \nII. Cinsiyet eşitliği ve kadınların güçlendirilmesi için kamu ödenek tahsisatı yapan ve izleme sistemleri olan ülkelerin oranı \nIII. Son 12 ay içinde mevcut veya eski eşi veya birlikte olduğu erkeğin fiziksel, cinsel ve duygusal şiddetine maruz kalan 15 yaş ve üzeri kadınların oranı \nIV. Sektör ve çalışma türüne göre burslar için resmi kalkınma yardımı akımlarının hacmi \nYukarıdaki maddelerden kaç tanesi cinsiyet eşitliğinin göstergelerindendir?;ZOR;3;1;4;2
